,,NAME,DATE,TM,,OPP,PTS,MIN,REB,AST,STL,BLK,TOV,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,PF,+/-
0,,LeBron James,2014-03-03,MIA,vs,CHA,61,41,7,4,0,0,2,22,33,66.7,8,10,80.0,9,12,75.0,2,16
1,,LeBron James,2017-11-03,CLE,@,WAS,57,43,11,7,3,2,3,23,34,67.6,2,4,50.0,9,9,100.0,2,6
2,,LeBron James,2022-03-05,LAL,vs,GSW,56,39,10,3,0,1,4,19,31,61.3,6,11,54.5,12,13,92.3,0,13
3,,LeBron James,2005-03-20,CLE,@,TOR,56,48,10,5,2,0,4,18,36,50.0,6,12,50.0,14,15,93.3,0,-7
4,,LeBron James,2009-02-20,CLE,@,MIL,55,40,5,9,0,0,6,16,29,55.2,8,11,72.7,15,22,68.2,3,13
5,,LeBron James,2009-02-04,CLE,@,NYK,52,44,9,11,0,2,3,17,33,51.5,2,7,28.6,16,19,84.2,1,7
6,,LeBron James,2005-12-10,CLE,@,MIL,52,43,7,7,2,0,3,19,29,65.5,5,9,55.6,9,10,90.0,5,-3
7,,LeBron James,2018-11-18,LAL,@,MIA,51,38,8,3,2,1,2,19,31,61.3,6,8,75.0,7,10,70.0,3,20
8,,LeBron James,2011-02-03,MIA,@,ORL,51,43,11,8,1,1,3,17,25,68.0,3,5,60.0,14,17,82.4,2,2
9,,LeBron James,2009-03-13,CLE,@,SAC,51,47,4,9,2,3,3,16,30,53.3,4,11,36.4,15,17,88.2,2,6
10,,LeBron James,2008-01-15,CLE,@,MEM,51,47,8,9,3,1,4,18,28,64.3,6,12,50.0,9,16,56.3,1,10
11,,LeBron James,2006-01-21,CLE,@,UTA,51,43,5,8,2,0,3,19,35,54.3,4,8,50.0,9,11,81.8,4,19
12,,LeBron James,2022-03-11,LAL,vs,WAS,50,36,7,6,0,1,3,18,25,72.0,6,9,66.7,8,8,100.0,3,22
13,,LeBron James,2008-03-05,CLE,@,NYK,50,44,8,10,4,0,2,16,30,53.3,7,13,53.8,11,16,68.8,3,11
14,,LeBron James,2023-01-16,LAL,vs,HOU,48,36,8,9,0,0,0,16,26,61.5,5,10,50.0,11,12,91.7,1,19
15,,LeBron James,2009-12-30,CLE,vs,ATL,48,43,10,6,2,2,3,15,23,65.2,4,6,66.7,14,16,87.5,3,7
16,,LeBron James,2022-12-30,LAL,@,ATL,47,40,10,9,0,1,5,18,27,66.7,4,6,66.7,7,9,77.8,0,12
17,,LeBron James,2010-02-06,CLE,vs,NYK,47,44,8,8,5,0,5,17,31,54.8,6,12,50.0,7,7,100.0,2,4
18,,LeBron James,2009-02-10,CLE,@,IND,47,41,7,4,1,1,7,15,21,71.4,4,7,57.1,13,14,92.9,1,7
19,,LeBron James,2006-04-01,CLE,vs,MIA,47,45,12,9,2,0,4,16,25,64.0,2,6,33.3,13,14,92.9,3,13
20,,LeBron James,2006-03-12,CLE,@,MIA,47,45,7,4,0,1,5,11,27,40.7,1,6,16.7,24,28,85.7,2,-7
21,,LeBron James,2023-01-24,LAL,vs,LAC,46,33,8,7,2,1,0,16,29,55.2,9,14,64.3,5,5,100.0,0,-14
22,,LeBron James,2021-01-25,LAL,@,CLE,46,38,8,6,2,2,3,19,26,73.1,7,11,63.6,1,2,50.0,1,11
23,,LeBron James,2006-03-29,CLE,vs,DAL,46,43,5,4,3,0,2,16,23,69.6,4,7,57.1,10,13,76.9,3,16
24,,LeBron James,2006-01-14,CLE,@,PHX,46,44,7,8,1,0,1,18,28,64.3,5,8,62.5,5,5,100.0,1,-5
