,id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
0,485,LeBron James,38,55,54,1954,609,1219,0.500,121,377,0.321,488,842,0.580,0.549,251,327,0.768,65,392,457,375,50,32,178,88,1590,LAL,2023
1,1186,LeBron James,37,56,56,2084,640,1221,0.524,161,448,0.359,479,773,0.620,0.590,254,336,0.756,63,396,459,349,73,59,196,121,1695,LAL,2022
2,1831,LeBron James,36,45,45,1504,422,823,0.513,104,285,0.365,318,538,0.591,0.576,178,255,0.698,29,317,346,350,48,25,168,70,1126,LAL,2021
3,2422,LeBron James,35,67,67,2316,643,1303,0.493,148,425,0.348,495,878,0.564,0.550,264,381,0.693,66,459,525,684,78,36,261,118,1698,LAL,2020
4,3045,LeBron James,34,55,55,1937,558,1095,0.510,111,327,0.339,447,768,0.582,0.560,278,418,0.665,57,408,465,454,72,33,197,94,1505,LAL,2019
5,3491,LeBron James,33,82,82,3026,857,1580,0.542,149,406,0.367,708,1174,0.603,0.590,388,531,0.731,97,612,709,747,116,71,347,136,2251,CLE,2018
6,4063,LeBron James,32,74,74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,542,639,646,92,44,303,134,1954,CLE,2017
7,4596,LeBron James,31,76,76,2709,737,1416,0.520,87,282,0.309,650,1134,0.573,0.551,359,491,0.731,111,454,565,514,104,49,249,143,1920,CLE,2016
8,5164,LeBron James,30,69,69,2493,624,1279,0.488,120,339,0.354,504,940,0.536,0.535,375,528,0.710,51,365,416,511,109,49,272,135,1743,CLE,2015
9,5874,LeBron James,29,77,77,2902,767,1353,0.567,116,306,0.379,651,1047,0.622,0.610,439,585,0.750,81,452,533,488,121,26,270,126,2089,MIA,2014
10,6394,LeBron James,28,76,76,2877,765,1354,0.565,103,254,0.406,662,1100,0.602,0.603,403,535,0.753,97,513,610,551,129,67,226,110,2036,MIA,2013
11,6915,LeBron James,27,62,62,2326,621,1169,0.531,54,149,0.362,567,1020,0.556,0.554,387,502,0.771,94,398,492,387,115,50,213,96,1683,MIA,2012
12,7449,LeBron James,26,79,79,3063,758,1485,0.510,92,279,0.330,666,1206,0.552,0.541,503,663,0.759,80,510,590,554,124,50,284,163,2111,MIA,2011
13,7818,LeBron James,25,76,76,2966,768,1528,0.503,129,387,0.333,639,1141,0.560,0.545,593,773,0.767,71,483,554,651,125,77,261,119,2258,CLE,2010
14,8324,LeBron James,24,81,81,3054,789,1613,0.489,132,384,0.344,657,1229,0.535,0.530,594,762,0.780,106,507,613,587,137,93,241,139,2304,CLE,2009
15,8845,LeBron James,23,75,74,3027,794,1642,0.484,113,359,0.315,681,1283,0.531,0.518,549,771,0.712,133,459,592,539,138,81,255,165,2250,CLE,2008
16,9354,LeBron James,22,78,78,3190,772,1621,0.476,99,310,0.319,673,1311,0.513,0.507,489,701,0.698,83,443,526,470,125,55,250,171,2132,CLE,2007
17,9861,LeBron James,21,79,79,3361,875,1823,0.480,127,379,0.335,748,1444,0.518,0.515,601,814,0.738,75,481,556,521,123,66,260,181,2478,CLE,2006
